setup_date,Date,growth_phase_days,termination_date,soil,treatment,replicate,pot_label,seed_survival,seed_survival_rate,soil_sample_label,plant_location_clockwise_from_label,setup_weight_g,weight_field_capacity_g,target_weight_g,shoot_length_cm,num_spikelets,root_length_cm,shoot_root_biomass_g,,pH,EC
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,6,6◾,1,1,RR_end_2.6,4,358,460,464,20.5,2,12.6,0.15,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,7,7◾,1,0.75,RR_end_2.7,1,358,453,454,15.2,0,8.4,0.08,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,7,7◾,1,0.75,RR_end_2.7,2,358,453,455,22.2,2,14.2,0.21,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,7,7◾,1,0.75,RR_end_2.7,3,358,453,456,21.7,4,10.7,0.25,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Compost,7,7◾,0,0.75,RR_end_2.7,4,358,453,457,N/A,N/A,N/A,N/A,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,1,1▲,1,1,RR_end_3.1,1,359,454,455,17.4,0,11.5,0.11,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,1,1▲,1,1,RR_end_3.1,2,359,454,456,19.6,2,13.4,0.15,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,1,1▲,1,1,RR_end_3.1,3,359,454,457,17,0,16.3,0.09,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,1,1▲,1,1,RR_end_3.1,4,359,454,458,18.8,0,15.6,0.16,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,2,2▲,1,0.5,RR_end_3.2,1,359,456,457,24,3,14.1,0.3,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,2,2▲,0,0.5,RR_end_3.2,2,359,456,458,N/A,N/A,N/A,N/A,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,2,2▲,1,0.5,RR_end_3.2,3,359,456,459,17.9,0,18,0.15,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,2,2▲,0,0.5,RR_end_3.2,4,359,456,460,N/A,N/A,N/A,N/A,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,3,3▲,1,1,RR_end_3.3,1,359,458,459,21.6,1,12,0.16,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,3,3▲,1,1,RR_end_3.3,2,359,458,460,21.7,0,10.9,0.2,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,3,3▲,1,1,RR_end_3.3,3,359,458,461,19.2,0,9.3,0.09,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,3,3▲,1,1,RR_end_3.3,4,359,458,462,19.2,2,8.2,0.16,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,4,4▲,1,1,RR_end_3.4,1,360,463,464,12.9,0,10.5,0.05,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,4,4▲,1,1,RR_end_3.4,2,360,463,465,16.3,0,14.4,0.14,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,4,4▲,1,1,RR_end_3.4,3,360,463,466,10.6,0,10.1,0.04,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,4,4▲,1,1,RR_end_3.4,4,360,463,467,12.1,0,11,0.06,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,5,5▲,1,0.75,RR_end_3.5,1,359,461,462,19,0,10.3,0.14,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,5,5▲,0,0.75,RR_end_3.5,2,359,461,463,N/A,N/A,N/A,N/A,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,5,5▲,1,0.75,RR_end_3.5,3,359,461,464,15.5,1,11.4,0.11,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,5,5▲,1,0.75,RR_end_3.5,4,359,461,465,16,2,13.6,0.12,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,6,6▲,1,1,RR_end_3.6,1,359,461,462,18.7,0,16.2,0.14,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,6,6▲,1,1,RR_end_3.6,2,359,461,463,20.4,0,17.6,0.29,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,6,6▲,1,1,RR_end_3.6,3,359,461,464,13.6,1,10.5,0.11,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,6,6▲,1,1,RR_end_3.6,4,359,461,465,25.5,2,25.9,0.26,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,7,7▲,0,0.5,RR_end_3.7,1,359,459,460,N/A,N/A,N/A,N/A,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,7,7▲,1,0.5,RR_end_3.7,2,359,459,461,32.3,3,11,0.34,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,7,7▲,0,0.5,RR_end_3.7,3,359,459,462,N/A,N/A,N/A,N/A,,,
9/19/24,11/21/24,63,11/21/24,Russell Ranch,Biochar-Compost,7,7▲,1,0.5,RR_end_3.7,4,359,459,463,19.5,2,18.6,0.17,,,
